aX,aY,aZ,gX,gY,gZ
-0.061,0.734,-1.334,120.850,77.148,77.393
-0.251,0.945,-1.455,195.496,57.129,57.495
-0.647,1.268,-1.420,233.398,51.086,31.311
-0.804,1.317,-1.359,299.927,64.453,-31.494
-0.979,1.021,-1.294,311.340,74.524,-59.753
-1.013,0.690,-1.173,234.070,30.762,-83.618
-0.988,-0.148,-0.251,151.611,-21.790,-75.256
-0.997,-0.853,0.860,-52.612,-57.800,-30.151
-1.057,-1.235,1.017,-207.947,15.686,23.926
-0.637,-2.228,1.413,-216.614,23.315,35.828
0.004,-2.558,2.068,-79.712,30.823,33.081
1.026,-2.587,3.190,-16.052,40.771,30.273
1.263,-2.359,3.554,56.824,-74.707,34.790
1.377,-1.371,4.000,94.788,-119.080,7.385
1.775,-0.279,4.000,114.746,-46.875,-127.197
2.050,0.137,3.821,29.785,10.925,-170.776
2.184,0.674,3.135,-7.935,9.583,-124.695
1.804,0.621,2.860,-69.885,54.626,44.800
0.242,0.139,1.978,-105.225,79.956,143.311
-0.509,0.009,1.470,-125.793,44.312,240.540
-1.305,0.131,0.726,-107.056,17.944,205.383
-0.987,0.255,0.497,-43.640,19.470,43.640
-0.581,0.152,0.635,-5.798,33.813,-24.719
0.076,-0.089,1.037,33.325,39.673,-75.378
0.223,-0.121,1.077,11.108,27.954,-48.401
0.259,-0.092,0.952,0.549,15.869,-26.917
0.214,-0.079,0.948,11.230,-6.836,-3.357
0.102,-0.044,1.015,21.423,-5.432,-3.540
0.082,-0.046,1.055,29.236,6.775,-21.606
0.139,-0.114,1.111,22.949,12.024,-31.677
0.065,0.174,1.014,0.671,-1.953,1.648
0.062,0.176,1.013,0.549,-0.854,2.808
0.056,0.184,0.999,0.244,0.366,2.808
0.056,0.186,0.985,0.061,1.526,1.587
0.063,0.183,0.966,0.488,1.038,1.160
0.064,0.179,0.961,1.831,-0.488,1.465
0.060,0.175,0.961,2.563,-0.854,1.892
0.057,0.176,0.963,3.235,0.244,2.563
0.056,0.176,0.956,3.113,0.977,2.747
0.055,0.174,0.950,3.357,0.671,1.831
0.054,0.173,0.953,3.845,0.122,1.282
0.047,0.170,0.960,5.066,-0.183,0.793
0.045,0.167,0.965,6.836,0.366,-0.061
0.051,0.169,0.973,7.385,0.061,-0.366
0.055,0.169,0.980,7.263,-1.465,0.122
0.055,0.168,1.005,6.836,-1.587,0.671
0.051,0.168,1.013,6.165,-0.977,1.221
0.044,0.169,1.025,6.226,-0.854,0.854
0.046,0.170,1.033,6.042,-0.305,-0.305
0.056,0.165,1.039,5.066,-0.122,-0.916
0.059,0.163,1.035,2.563,-0.854,-1.465
0.063,0.157,1.030,1.709,-2.014,-1.648
0.072,0.154,1.047,-0.244,-3.906,-1.587
0.076,0.154,1.050,-4.517,-2.197,-0.427
0.074,0.155,1.031,-6.409,-0.366,0.488
0.070,0.156,1.018,-7.324,2.625,1.709
0.061,0.157,0.992,-6.836,3.174,1.709
0.061,0.157,0.986,-5.554,2.197,1.343
0.065,0.160,0.976,-5.371,1.526,1.465
0.065,0.163,0.971,-5.554,0.977,1.770
0.070,0.181,0.923,1.709,-3.235,6.836
0.060,0.181,0.942,5.188,-5.493,5.066
0.065,0.182,0.965,10.864,-6.165,0.916
0.085,0.181,0.979,11.047,-4.944,0.000
0.087,0.179,0.966,8.423,-4.761,0.183
0.084,0.166,0.953,7.996,-6.470,0.305
0.082,0.157,0.963,10.620,-10.681,-0.488
0.075,0.156,0.995,12.939,-12.146,-1.160
0.068,0.158,1.012,17.090,-12.756,-2.625
0.062,0.149,1.043,17.883,-12.268,-2.869
0.057,0.134,1.076,15.442,-11.719,-1.038
0.055,0.128,1.088,9.644,-10.010,2.502
0.049,0.128,1.093,7.141,-9.216,3.357
0.050,0.128,1.094,4.883,-9.155,2.380
0.060,0.114,1.092,4.456,-9.216,1.892
0.062,0.103,1.090,4.700,-8.118,2.869
0.067,0.089,1.091,5.310,-7.507,3.479
0.071,0.086,1.091,5.249,-7.629,5.310
0.082,0.080,1.087,4.517,-8.972,6.165
0.089,0.072,1.080,4.517,-14.343,7.263
0.090,0.045,1.080,6.836,-16.846,8.423
0.079,0.038,1.095,15.381,-19.043,11.353
0.049,0.036,1.146,20.203,-19.836,12.207
0.037,0.030,1.178,26.184,-19.897,13.123
0.024,-0.005,1.230,27.161,-18.982,12.634
0.022,-0.031,1.249,27.161,-18.494,11.169
0.018,-0.039,1.238,18.555,-16.541,6.714
0.021,-0.095,1.132,8.423,-14.404,0.977
0.047,-0.151,1.030,-23.804,-14.587,-14.343
0.178,-0.307,0.750,-40.222,-15.991,-21.362
0.116,0.123,0.984,4.272,2.441,4.761
0.118,0.126,0.986,3.052,1.587,5.493
0.120,0.125,0.998,2.441,1.587,5.859
0.119,0.121,1.002,2.136,2.197,7.080
0.112,0.119,1.010,2.747,2.258,7.263
0.111,0.118,1.018,4.028,1.221,7.019
0.109,0.114,1.043,4.395,-0.122,6.470
0.110,0.115,1.054,5.310,-3.601,4.395
0.109,0.123,1.072,5.798,-5.432,2.747
0.111,0.127,1.084,6.409,-9.521,-0.183
0.124,0.127,1.134,6.165,-11.780,-0.610
0.130,0.120,1.174,4.211,-17.334,-0.916
0.136,0.095,1.251,1.648,-20.264,-0.549
0.139,0.084,1.279,-5.493,-23.865,0.610
0.149,0.070,1.302,-7.996,-24.231,1.221
0.146,0.055,1.315,-6.409,-25.269,4.211
0.126,0.025,1.396,-1.648,-24.841,5.859
0.132,0.003,1.477,6.470,-18.555,7.324
0.138,-0.002,1.483,5.066,-12.207,8.606
0.149,-0.014,1.410,-9.583,-2.197,10.498
0.152,-0.033,1.355,-27.771,-5.371,10.498
0.164,-0.088,1.260,-35.339,-7.202,10.742
0.171,-0.112,1.207,-48.523,-3.296,12.146
0.171,-0.141,1.048,-54.871,0.366,12.756
