-0.890,-0.675,1.431,53.833,40.344,178.467
-0.956,-0.641,1.279,44.800,67.261,159.851
-0.954,-0.552,1.047,45.837,60.791,143.066
-0.912,-0.532,0.960,44.006,23.682,109.497
-0.771,-0.562,0.877,45.532,5.554,96.741
-0.665,-0.591,0.900,55.054,-11.963,86.487
-0.488,-0.601,0.974,55.420,-13.000,90.637
-0.468,-0.578,0.986,39.612,-21.606,108.765
-0.542,-0.469,1.016,22.644,-35.522,114.502
-0.578,-0.403,1.038,2.197,-50.964,114.197
-0.588,-0.336,1.048,-25.574,-60.913,101.013
-0.568,-0.175,1.036,-25.452,-52.979,91.919
-0.547,-0.092,1.021,-9.521,-29.358,71.167
-0.492,0.016,0.999,-1.282,-21.301,59.326
-0.461,0.019,1.000,9.460,-15.137,32.593
-0.386,-0.024,1.039,9.888,-15.991,21.790
-0.352,-0.027,1.056,1.953,-14.526,10.315
-0.279,0.002,1.025,-0.977,-8.850,7.751
-0.245,0.015,0.994,1.709,-2.014,3.174
-0.187,0.042,0.975,5.249,-4.089,-0.549
1.401,-0.456,0.575,131.226,53.040,70.374
1.313,-0.781,0.771,146.790,35.217,84.351
1.232,-0.964,0.924,159.241,10.864,139.343
0.953,-1.312,1.301,157.715,3.174,173.828
0.769,-1.410,1.501,143.982,1.892,233.276
0.258,-1.339,1.728,132.874,15.747,258.118
-0.041,-1.219,1.738,117.371,49.316,281.494
-0.512,-1.031,1.667,110.474,52.673,273.621
-0.652,-0.986,1.589,85.510,30.396,235.596
-0.757,-0.930,1.350,74.585,14.771,214.600
-0.787,-0.915,1.242,75.500,-17.578,184.326
-0.845,-0.858,1.122,83.252,-32.227,172.729
-0.827,-0.795,1.095,89.478,-55.725,151.917
-0.772,-0.661,1.095,83.557,-67.261,143.738
-0.760,-0.641,1.120,61.218,-73.730,136.475
-0.754,-0.600,1.142,48.767,-64.697,138.733
-0.767,-0.541,1.121,20.935,-50.659,138.855
-0.745,-0.404,1.103,6.836,-49.072,132.019
-0.688,-0.341,1.087,-4.211,-34.180,107.910
-0.531,-0.242,1.011,-2.441,-24.109,95.459
-0.479,-0.194,0.981,-4.089,-19.287,79.102
-0.455,-0.101,0.984,-5.859,-17.700,73.303
-0.436,-0.068,0.986,6.287,5.737,57.617
-0.350,-0.033,0.963,14.343,12.268,46.570
-0.302,-0.024,0.964,3.296,-10.193,25.879
-0.200,-0.001,0.971,-7.874,-20.325,20.935
-0.153,0.018,0.957,-4.944,-8.484,19.897
-0.088,0.051,0.949,7.324,1.770,19.653
-0.069,0.060,0.978,26.550,3.784,7.935
-0.006,0.038,1.063,27.100,-2.136,-1.465
0.412,0.108,0.906,14.099,36.865,15.381
0.583,0.080,0.824,6.470,49.988,8.301
0.686,0.081,0.791,-0.610,46.448,4.456
0.891,0.129,0.792,-7.996,45.593,3.357
0.977,0.159,0.822,-4.456,61.035,7.263
1.055,0.171,0.853,10.376,112.549,16.968
1.176,0.130,0.871,15.381,133.728,20.569
1.211,0.093,0.861,19.592,145.142,25.269
1.230,0.020,0.852,25.085,139.587,28.564
1.225,-0.032,0.852,54.382,132.019,36.499
1.216,-0.262,0.832,75.989,132.141,42.175
1.193,-0.423,0.827,127.014,112.305,55.664
1.106,-0.834,1.036,150.696,80.872,61.829
1.044,-1.046,1.282,159.363,9.216,104.370
0.753,-1.246,1.650,140.808,-2.380,144.897
0.541,-1.271,1.660,105.835,34.546,217.346
0.153,-1.317,1.466,100.708,59.265,236.023
-0.017,-1.323,1.365,99.976,69.275,243.958
-0.386,-1.278,1.371,99.243,32.532,244.568
-0.559,-1.248,1.437,98.328,6.775,238.037
-0.695,-1.215,1.464,89.233,-11.047,215.881
-0.858,-1.096,1.342,80.566,-10.132,205.627
-0.905,-0.987,1.248,63.171,-13.733,191.711
-0.935,-0.715,1.106,57.312,-19.043,185.120
-0.919,-0.599,1.062,45.471,-35.889,169.495
