aX,aY,aZ,gX,gY,gZ
0.238,0.039,0.980,-5.188,4.211,5.859
0.242,0.040,0.976,-5.371,2.808,3.845
0.252,0.040,0.972,-4.395,2.075,2.930
0.256,0.042,0.972,-3.357,1.709,2.075
0.258,0.053,0.963,-2.502,2.441,2.014
0.257,0.052,0.954,-2.319,5.188,5.432
0.266,0.060,0.936,-1.770,5.981,5.981
0.276,0.071,0.930,-0.366,7.080,6.653
0.302,0.106,0.914,0.244,7.996,6.958
0.320,0.126,0.904,0.793,8.423,8.911
0.357,0.165,0.906,0.244,6.470,9.766
0.371,0.187,0.921,-4.395,-0.427,9.460
0.389,0.246,0.962,-8.057,-3.479,9.460
0.406,0.277,0.986,-13.489,-4.761,13.611
0.454,0.344,1.017,-13.794,-1.892,18.677
0.464,0.430,1.061,-10.437,7.629,31.494
0.452,0.476,1.089,-13.123,17.822,38.330
0.455,0.559,1.094,-19.348,19.043,40.649
0.457,0.594,1.078,-36.438,9.583,54.260
0.430,0.681,1.022,-43.213,3.845,66.345
0.398,0.736,0.981,-46.204,4.333,97.290
0.331,0.899,0.909,-39.673,10.925,110.779
0.302,0.977,0.881,-18.372,26.367,127.502
0.238,1.102,0.844,-11.353,23.315,127.502
0.233,1.164,0.852,-10.376,-13.916,107.483
0.300,1.297,0.941,-10.498,-34.607,95.215
0.327,1.332,1.005,-0.671,-46.814,83.191
0.331,1.318,1.038,8.301,-33.997,81.726
0.324,1.319,0.997,21.118,-5.249,81.970
0.222,1.313,0.896,15.869,-8.667,79.773
0.320,0.350,1.122,8.667,4.700,12.817
0.343,0.403,1.142,2.441,12.817,21.545
0.356,0.533,1.154,-2.686,19.836,30.579
0.351,0.604,1.134,-16.235,34.607,48.523
0.337,0.727,1.035,-24.475,37.659,56.946
0.313,0.794,0.996,-32.349,34.363,65.125
0.246,0.970,0.993,-45.288,7.446,75.073
0.234,1.040,1.002,-48.828,-9.277,73.975
0.278,1.098,0.997,-48.462,-29.480,65.063
0.296,1.101,1.006,-46.753,-32.715,65.002
0.227,1.143,1.051,-42.542,-32.227,76.721
